date,price_mean,price_median,n_obs
1901-01-01,339000.0,339000.0,1
1904-03-01,249900.0,249900.0,1
1905-07-01,405000.0,405000.0,1
1906-10-01,345000.0,345000.0,1
1909-01-01,85900.0,85900.0,1
1909-03-01,450000.0,450000.0,1
1910-01-01,269000.0,269000.0,1
1926-11-01,599999.0,599999.0,1
1928-03-01,1127500.0,1127500.0,1
1935-08-01,135900.0,135900.0,1
1939-11-01,145000.0,145000.0,1
1941-09-01,164000.0,164000.0,1
1949-03-01,429900.0,429900.0,1
1950-04-01,450000.0,450000.0,1
1950-08-01,140000.0,140000.0,1
1950-10-01,125000.0,125000.0,1
1951-11-01,125000.0,125000.0,1
1952-06-01,139900.0,139900.0,1
1952-09-01,322450.0,322450.0,2
1952-10-01,425000.0,425000.0,1
1952-12-01,649900.0,649900.0,1
1953-01-01,145000.0,145000.0,1
1954-07-01,365000.0,365000.0,1
1954-09-01,330000.0,330000.0,1
1954-11-01,339900.0,339900.0,1
1955-02-01,527900.0,527900.0,1
1955-03-01,312000.0,312000.0,2
1955-04-01,150000.0,150000.0,1
1955-05-01,450000.0,450000.0,1
1955-07-01,189000.0,189000.0,1
1956-04-01,193500.0,193500.0,2
1956-07-01,175000.0,175000.0,1
1956-10-01,250000.0,250000.0,1
1956-11-01,287003.0,287003.0,1
1956-12-01,110000.0,110000.0,1
1957-01-01,350000.0,350000.0,1
1957-04-01,130000.0,130000.0,1
1957-07-01,315000.0,315000.0,1
1957-09-01,749900.0,749900.0,1
1957-10-01,1127500.0,1127500.0,1
1957-12-01,274950.0,274950.0,1
1958-03-01,219900.0,219900.0,2
1958-04-01,1127500.0,1127500.0,1
1958-06-01,260000.0,260000.0,1
1958-09-01,424500.0,424500.0,2
1958-11-01,297475.0,235000.0,4
1959-01-01,228266.66666666666,239900.0,3
1959-02-01,149950.0,149950.0,1
1959-03-01,125000.0,125000.0,1
1959-04-01,289450.0,289450.0,2
1959-06-01,245000.0,245000.0,1
1959-07-01,199950.0,199950.0,1
1959-10-01,60000.0,60000.0,1
1959-11-01,205000.0,205000.0,1
1960-01-01,312000.0,312000.0,2
1960-03-01,613500.0,613500.0,2
1960-05-01,32500.0,32500.0,1
1960-06-01,1127500.0,1127500.0,1
1960-07-01,242950.0,242950.0,2
1960-10-01,184900.0,184900.0,1
1960-11-01,185000.0,185000.0,1
1961-01-01,19900.0,19900.0,1
1961-04-01,1063150.0,1063150.0,2
1961-05-01,524750.0,524750.0,1
1961-06-01,675000.0,675000.0,2
1961-07-01,129900.0,129900.0,1
1961-08-01,302500.0,302500.0,2
1961-09-01,360783.3333333333,485000.0,3
1961-11-01,349900.0,349900.0,1
1962-01-01,280950.0,280950.0,2
1962-03-01,215000.0,215000.0,2
1962-04-01,74900.0,74900.0,1
1962-06-01,199950.0,199950.0,1
1962-07-01,365225.0,287450.0,4
1962-08-01,314200.0,330000.0,5
1962-09-01,239900.0,239900.0,1
1962-10-01,243725.0,249950.0,4
1962-11-01,152500.0,152500.0,2
1962-12-01,17500.0,17500.0,1
1963-01-01,324500.0,324500.0,2
1963-02-01,259450.0,236950.0,4
1963-03-01,350000.0,350000.0,1
1963-04-01,85000.0,85000.0,2
1963-05-01,25000.0,25000.0,1
1963-06-01,259242.85714285713,175800.0,7
1963-07-01,456666.6666666667,450000.0,3
1963-08-01,451945.0,451945.0,2
1963-09-01,427142.85714285716,210000.0,7
1963-10-01,550625.0,407500.0,4
1963-11-01,1127500.0,1127500.0,1
1963-12-01,370960.0,320000.0,5
1964-01-01,380660.0,298500.0,5
1964-02-01,159900.0,159900.0,1
1964-03-01,80900.0,80900.0,1
1964-04-01,339480.0,180000.0,5
1964-05-01,849000.0,849000.0,1
1964-06-01,619580.0,542000.0,10
1964-07-01,794000.0,822500.0,6
1964-08-01,777400.0,837200.0,6
1964-09-01,617316.6666666666,649500.0,6
1964-10-01,940590.0,1046250.0,6
1964-11-01,565480.0,429900.0,5
1964-12-01,544981.25,579950.0,8
1965-01-01,691085.7142857143,642500.0,14
1965-02-01,560380.0,499000.0,5
1965-03-01,573980.0,309900.0,5
1965-04-01,725000.0,750000.0,3
1965-05-01,595299.8,535000.0,5
1965-06-01,461328.5714285714,180000.0,7
1965-07-01,476200.25,562450.0,4
1965-08-01,660000.0,660000.0,1
1965-09-01,417314.28571428574,250000.0,7
1965-10-01,723071.2857142857,759000.0,7
1965-11-01,332666.6666666667,312000.0,6
1965-12-01,1127500.0,1127500.0,1
1966-01-01,473266.6666666667,529900.0,3
1966-02-01,535475.0,588500.0,4
1966-03-01,533860.0,399900.0,5
1966-04-01,70000.0,70000.0,1
1966-05-01,445499.875,405000.0,8
1966-06-01,610557.1428571428,395000.0,7
1966-07-01,658800.0,449000.0,3
1966-08-01,896666.6666666666,1127500.0,3
1966-09-01,400025.0,265000.0,5
1966-10-01,859133.3333333334,850000.0,3
1966-11-01,613391.6666666666,549975.0,6
1966-12-01,787300.0,795000.0,5
1967-01-01,452037.6,435500.0,5
1967-02-01,611424.875,581499.5,8
1967-03-01,587811.5,574500.0,6
1967-04-01,726822.2222222222,799900.0,9
1967-05-01,759857.1428571428,1127500.0,7
1967-06-01,709500.0,589000.0,7
1967-07-01,773778.5714285715,900000.0,7
1967-08-01,697615.3076923077,775000.0,13
