city_clean,city_listing_count
100 89 lower shepard creek road,1
139th ave unit peck,1
15th ave milton,1
177th ave wabasha,1
178th ave wabasha,1
1st saint,1
21 27 tommie lane,1
24 jj rd rd,1
240th saint,2
260th saint,1
3 4 highview dr,1
3 mi southwest of benteen,1
30 31 boardwalk dr,1
480th saint,1
4th saint,1
647th saint wabasha,1
667th saint wabasha,5
68th ave princeton township,1
9th ave willmar,1
aaronsburg,2
abbeville,393
abbot,4
abbotsford,17
abbott,8
abbottstown,44
abby rd,1
abby rd billings,3
abbyville,2
abell,3
abercrombie,5
aberdeen,857
abernathy,29
abie,1
abilene,1087
abingdon,569
abington,138
abiquiu,54
abita springs,91
abrams,45
absarokee,13
absecon,67
absecon highlands,1
acampo,66
access undetermined,1
accident,28
accokeek,108
accomac,21
accord,46
ace,1
acequia,1
achille,5
ackerly,2
ackerman,12
ackley,16
ackworth,5
acme,30
acra,2
acton,370
acushnet,55
acworth,576
ada,351
adah,8
adair,55
adairsville,118
adairville,1
adams,197
adams center,16
adams run,22
adams street,1
adams township,3
adamsburg,5
adamstown,44
adamstown township,7
adamsville,171
addieville,8
addington,1
addis,49
addisleigh park,8
addison,369
addison township,37
addy,18
addyston,1
adel,131
adelaide rd unit,1
adelanto,406
adell,9
adelphi,55
adelphia,1
adena,8
adger,32
adin,13
adirondack,1
adjuntas,2
adkins,42
admire,1
adna,7
adolphus,17
adrian,243
advance,115
aerial acres,4
affton,31
afton,278
agana heights,4
agat,9
agate,10
agawam,184
agency,9
ages brookside,1
agness,2
agnos,1
agoura,9
agoura hills,191
agra,7
agua dulce,114
agua fria,1
aguada,46
aguadilla,47
aguanga,246
aguas buenas,6
aguila,47
aguilar,18
ahoskie,77
ahsahka,6
ahwahnee,26
aibonito,12
aiea,74
aiken,1260
ailey,6
ainsworth,18
airmont,13
airville,18
airway heights,107
aitkin,95
ajo,6
akeley,13
akron,2427
al,1
al 35447,1
alabama,5
alabaster,213
alachua,239
alachua county,1
alameda,373
alamo,261
alamo heights,17
alamogordo,241
alamosa,71
alanson,98
alapaha,2
alaska,1
alba,68
alban,1
albany,1869
albee township,1
albemarle,183
albert city,2
albert hendry rd,1
albert lea,189
alberta,11
alberton,12
albertson,24
albertville,157
albia,53
albin,1
albion,201
alborn,3
albright,12
albrightsville,404
albuquerque,5107
alburgh,22
alburnett,6
alburtis,8
alcalde,11
alcester,1
alco,2
alcoa,42
alcolu,2
alcona,1
alcona township,2
alcova,4
aldan,34
alden,129
alder,6
alder creek,5
alderpoint,18
alderson,44
aldie,248
aldine,2
aldrich,3
aledo,377
alex,4
alexander,168
alexander city,145
alexandria,4086
alexandria bay,22
alexandria township,35
alexis,8
alford,92
alfred,14
alfred station,6
algansee township,1
alger,52
algoa,2
algodones,10
algoma,31
algona,63
algonac,43
algonquin,273
algood,3
alhambra,259
alice,132
aliceville,13
alicia,7
aline,4
aliquippa,177
aliso viejo,288
alkol,2
allaben,1
allagash,1
allamuchy township,50
allardt,19
alledonia,2
allegan,97
allegany,32
alleman,9
allen,521
allen park,18
allen township,3
allendale,111
allenhurst,14
allenport,2
allenspark,7
allenstown,8
allensville,1
allensworth,2
allenton,20
allentown,309
allenwood,7
allerton,6
alleyton,27
alliance,247
alligator,1
alligator point,8
allison,4
allison park,115
allisonia,6
allons,41
allouez,13
alloway,15
allport,2
allred,1
allston,1
allyn,50
alma,270
alma center,7
almena,13
almena township,1
almer township,4
almira,4
almo,14
almond,77
almont,25
almont township,20
almont vlg,1
almyra,1
alna,1
aloha,115
alorton,2
alpaugh,3
alpena,164
alpha,24
alphar,7
alpharetta,895
alpine,499
alpine meadows,8
alpine terlingua,12
alpine township,1
alpine village,1
alread,1
alsea,11
alsip,95
alstead,10
alston,1
alta,49
alta loma,90
alta vista,3
altadena,207
altair,7
altamont,141
altamonte spg,1
altamonte springs,255
altavista,25
altenburg,2
altha,27
altheimer,4
altmar,31
alto,308
alto bonito,1
alto pass,1
alton,630
altona,13
altonah,1
altoona,495
altura,4
alturas,82
altus,161
alum bank,7
alum bridge,4
alum creek,7
alum ridge,1
alva,423
alvada,1
alvarado,178
alvaton,62
alverton,1
alvin,437
alvin t wi,1
alviso,10
alvo,2
alvord,64
alvordton,3
alys beach,40
ama,1
amado,19
amador city,9
amador township,1
amagansett,56
amalga,2
amalia,2
amana,8
amanda,9
amanda park,3
amargosa valley,3
amarillo,870
amasa,5
amawalk,2
amazonia,2
amber,19
amber lake rd,1
amberg,11
amberg t wi,2
amberley,7
amberson,1
ambia,2
ambler,221
amboy,75
ambridge,81
ambrose,2
amelia,28
amelia court house,87
amelia island,35
amenia,38
american canyon,71
american falls,32
american fork,163
americus,98
amery,71
ames,453
amesbury,51
amesville,2
amherst,816
amherst jct,1
amherst junction,1
amherstdale,2
amissville,65
amite,27
amite city,3
amity,93
amity harbor,9
amityville,89
amma,3
ammon,26
amnicon township,2
amoret,1
amory,118
amsterdam,179
amsterdam churchill,1
anacoco,29
anaconda,96
anacortes,223
anadarko,54
anaheim,972
anaheim hills,5
anahola,17
anahuac,78
anamoose,3
anamosa,45
anasco,10
anatone,3
anawalt,1
ancho,13
anchor,3
anchor bay,2
anchor point,56
anchorage,372
ancona,1
ancram,24
ancramdale,3
andale,2
andalusia,158
anderson,1121
anderson island,121
anderson rd,1
anderson township,125
anderson twp,3
andersonville,67
andes,61
andover,552
andreas,2
andrews,381
angel crest ln,1
angel fire,384
angel frie,1
angel ifre,1
angelica,15
angels camp,73
angelus oaks,20
angie,16
angier,73
angle fire,2
angle inlet,11
angleton,497
angola,144
angoon,3
angora,4
anguilla,2
angus,2
angwin,19
aniak,1
animas,2
anita,16
aniwa,4
ankeny,1169
anmoore,1
ann arbor,692
ann saint,1
anna,330
anna maria,61
annabella,6
annada,7
annandale,433
annapolis,783
annawan,5
annetta,2
anniston,310
annona,21
annsville,2
annville,158
anoka,105
ansley,3
anson,53
ansonia,72
ansonville,2
ansted,2
antelope,335
antelope acres,70
anthem,129
anthon,2
anthony,115
antigo,105
antigo54409,2
antimony,1
antioch,1173
antler,1
antlers,52
anton,10
anton chico,1
antonito,15
antreville,1
antrim,13
antrim township,2
antwerp,25
anza,147
apache,11
apache junction,461
apalachicola,93
apalachin,38
apex,192
apison,64
aplington,6
apolacon,1
apollo,79
apollo beach,471
apopka,600
appalachia,9
apple blossom ct lake city,1
apple canyon lake,2
apple creek,13
apple river,65
apple river township,2
apple springs,17
apple springs boulevard sturgis,18
apple springs court sturgis,6
apple valley,1842
appleby,4
applegate,47
appleton,630
appleton city,2
appling,63
appomattox,102
aptos,181
apulia station,1
aquasco,20
aquebogue,30
aquilla,21
aquinnah,3
arab,83
arabi,65
aragon,32
aransas pass,228
arapaho,11
arapahoe,51
ararat,37
arbela,5
arbela township,3
arbo township,1
arboga,20
arboles,8
arbor vitae,28
arbovale,1
arbuckle,14
arbutus,3
arbyrd,1
arcade,47
arcadia,944
arcanum,70
arcanum ithaca,1
arcata,8
arch cape,10
archbald,52
archbold,11
archdale,92
archer,142
archer city,11
archer lodge,5
archie,14
arco,8
arcola,43
ardara,6
arden,278
arden hills,38
ardenvoir,4
ardmore,458
ardsley,13
arecibo,69
arena,23
arenas valley,4
arendtsville,1
arenzville,3
argenta,4
argentine,19
argillite,2
argo,3
argonia,11
argonne,9
argos,7
argusville,1
argyle,302
argyle township,1
ariel,12
arietta,3
arimo,8
aripeka,7
ariton,11
arivaca,30
arizona city,428
ark,2
arkadelphia,39
arkansas city,56
arkansaw,3
arkdale,63
arkoma,3
arkport,7
arkville,4
arland,1
arlee,10
arleta,96
arley,137
arlington,4423
arlington heights,640
arma,7
armada,11
armada township,10
armagh,3
armbrust,3
armington,3
arminto,2
armona,10
armonk,33
armstrong,7
armstrong creek,3
armstrong creek t wi,1
armuchee,16
arnaudville,82
arnegard,38
arnett,4
arnold,530
arnolds park,5
arnoldsburg,3
arnoldsville,22
arnot,1
aroda,12
aroma park,6
aromas,22
arp,39
arpelar,2
arpin,8
arrey,2
arriba,1
arrington,24
arrow bear,2
arrow rock,3
arrowbear lake,41
arrowhead ln,1
arrowhead point rd,1
arrowhead ridge rd,1
arrowsic,1
arrowsmith,8
arroyo,7
arroyo city,5
arroyo grande,137
arroyo hondo,25
arroyo seco,39
art,1
artemas,4
artemus,3
artesia,207
artesia wells,1
arthur,23
arthur city,15
arthurdale,7
artois,1
arundel,21
arvada,473
arverne,28
arverne by the sea,1
arvilla,1
arvin,18
arvon township,3
arvonia,26
ary,4
asan,13
asbury,8
asbury park,107
ash,25
ash flat,32
ash fork,228
ash grove,21
ash township,6
ashburn,889
ashburnham,45
ashby,58
ashcamp,3
ashdown,39
asheboro,269
asher,16
asherton,2
asheville,979
ashfield,10
ashford,76
ashkum,8
ashland,1249
ashland city,86
ashland t wi,1
ashley,40
ashmore,1
ashtabula,298
ashton,73
ashville,159
ashwaubenon,59
ashwood,5
askov,2
asotin,33
aspen,147
aspen highlands 2nd addn elk mountain,1
aspen hill,1
aspermont,9
aspers,19
assaria,5
assawoman,1
assumption,5
astatula,31
aston,111
astor,52
astoria,323
atalissa,3
atascadero,150
atascocita,18
atascosa,20
atchison,42
atco,82
atglen,24
athelstane,14
athena,14
athens,1589
athens township,3
athens village,1
atherton,56
athol,223
atkins,64
atkinson,55
atlanta,7267
atlanta township,1
atlantic,70
atlantic beach,222
atlantic city,416
atlantic highlands,36
atlantique,2
atlantis,16
atlas,20
atlasburg,1
atmore,156
atoka,92
atolia,1
atomic city,2
atqasuk,1
attalla,24
attapulgus,7
attica,123
attleboro,232
atwater,297
atwood,45
au gres,112
au sable,2
au sable forks,21
au train,17
auberry,31
aubrey,397
auburn,2400
auburn hills,27
auburn township,3
auburn unincorp,1
auburndale,369
auburntown,4
audubon,129
augusta,1652
aulander,23
ault,92
aumsville,20
aurelia,4
aurelius township,1
aurora,2896
aurora t wi,2
ausable,3
austell,269
austerlitz,35
austin,2236
austinburg,15
austintown,128
austinville,54
austonio,2
austwell,8
autauga county,1
autaugaville,9
automba township,2
autryville,22
auxier,3
auxvasse,26
ava,91
avalon,123
avalon manor,5
avant,1
ave maria,131
avella,20
avenal,34
avenel,68
aventura,826
avenue,9
avenue m galveston,1
avera,4
averill,1
averill park,3
avery,22
avila beach,28
avilla,12
avinger,55
avis,4
aviston,6
avoca,65
avon,777
avon by the sea,9
avon lake,85
avon park,384
avondale,457
avondale est,4
avondale estates,83
avonmore,9
awendaw,31
axis,12
axtell,43
axton,31
ayden,92
aydlett,28
ayer,52
aylett,190
aynor,101
ayrshire,4
azalea,13
azalea ave,1
azle,278
aztec,294
azusa,232
babb,26
babbitt,32
babcock,1
babcock ranch,21
babson park,42
babylon,67
bachman grade rd oreana,1
back bay,3
back country,1
backus,33
bacliff,76
baconton,8
bacova,3
bad axe,15
baden,69
badger,8
badin,6
badin lake,27
bagdad,54
baggs,4
bagley,24
bagwell,4
bahama,9
bailey,101
baileys harbor,37
baileyton,3
baileyville,7
bainbridge,242
bainbridge island,223
bainville,7
baird,24
bairoil,1
baiting hollow,28
baker,165
baker city,101
bakerhill,1
bakersfield,1801
bakerstown,2
bakersville,99
bal harbour,169
bala cynwyd,37
balaton,59
balch springs,89
bald cypress dr village mills,1
bald eagle trl crosslake,1
bald head island,126
bald knob,24
bald point,5
baldwin,390
baldwin city,18
baldwin dr mchenry,1
baldwin harbor,7
baldwin hills,9
baldwin lake,6
baldwin park,186
baldwin township,2
baldwin vlg,1
baldwinneptune beach,1
baldwinsville,209
baldwyn,38
balko,2
ball,30
ball ground,245
ballantine,2
ballard,21
ballardsville,1
ballico,4
ballinger,20
ballston lake,162
ballston spa,145
ballwin,472
bally,4
balmorhea,1
balsam,8
balsam grove,8
balsam lake,30
balta,1
baltic,21
baltimore,7176
balzola,1
bamberg,28
bancroft,23
bancroft township,1
bancroft vlg,1
bandera,316
bandon,118
bandy,3
baneberry,42
bangall,1
bangor,204
bangs,31
banks,44
banks township,1
banner,18
banner elk,359
banner saint,1
banning,224
bannister,4
bannockburn,7
banquete,2
bar harbor,29
bar nunn,2
baraboo,165
baraga,8
barataria,11
barbeau,7
barberry street fountain,1
barberton,277
barboursville,116
barbourville,47
barceloneta,9
barclay,6
barco,9
bardolph,1
bardonia,5
bardstown,173
bardwell,17
barefoot bay,51
bargersville,37
barhamsville,6
baring plt,3
bark river,8
barker,17
barkers creek,2
barkhamsted,21
barksdale,1
barling,17
barlow,2
barnard,7
barnardsville,16
barnegat,199
barnegat light,14
barnegat township,5
barnes,14
barnesville,200
barnet,8
barnett,29
barneveld,42
barney,4
barnhart,91
barnsdall,10
barnstable,130
barnstead,28
barnum,13
barnwell,57
baroda,7
barrackville,11
barranquitas,4
barre,89
barren springs,12
barrett,2
barrett township,3
barrigada,26
barrington,331
barrington hills,79
barron,12
barronett,1
barrow,1
barry,12
barryton,24
barryton vlg,1
barrytown,1
barryville,11
barstow,399
barstow heights,1
bartlesville,469
bartlett,456
bartlett township,1
bartley,1
barto,15
barton,30
barton city,11
barton hills,1
bartonsville,15
bartonville,54
bartow,224
basalt,67
bascom,17
basehor,105
basile,9
basin,16
baskerville,8
baskin,1
basking ridge,2
basom,3
bass lake,28
bass lake township,2
bass rd,1
bass river,2
bassett,74
bassfield,5
bastian,5
bastrop,336
basye,120
bat cave,1
batavia,422
batavia township,88
batchelor,1
batchtown,2
bates,9
bates city,25
bates township,5
batesburg,16
batesville,232
bath,260
bath beach,2
bath springs,35
bath village,3
baton rouge,1643
batson,6
battery park,1
battiest,2
battle creek,390
battle ground,422
battle lake,17
battle mountain,103
battleboro,25
battlefield,37
battlement mesa,8
battletown,7
baudette,47
bauxite,13
baxley,55
baxter,306
baxter county road 128,1
baxter springs,38
bay,10
bay center,4
bay city,461
bay club dr lot 34,1
bay club dr seadrift,11
bay de noc township,4
bay harbor,48
bay harbor islands,158
bay head,12
bay minette,164
bay point,127
bay port,2
bay saint louis,493
bay shore,123
bay springs,10
bay village,65
bayamon,145
bayamón,3
bayard,32
bayboro,14
bayfield,146
bayonet point,10
bayonne,125
bayou blue,1
bayou l'ourse,2
bayou la batre,18
bayou pigeon,1
bayou vista,24
bayport,57
bayside,537
bayside country estates brule,1
bayside south,3
