state_clean,state_listing_count
alabama,34045
alaska,2581
arizona,72752
arkansas,23044
california,227182
colorado,32279
connecticut,14008
delaware,8625
district of columbia,6625
florida,249418
georgia,80971
guam,489
hawaii,7243
idaho,16759
illinois,85174
indiana,18796
iowa,23024
kansas,14725
kentucky,26299
louisiana,25814
maine,5065
maryland,46052
massachusetts,38041
michigan,42423
minnesota,43407
mississippi,16255
missouri,45144
montana,10059
nebraska,6306
nevada,14664
new brunswick,1
new hampshire,3642
new jersey,48184
new mexico,21073
new york,103157
north carolina,85465
north dakota,4268
ohio,58839
oklahoma,37140
oregon,32158
pennsylvania,78368
puerto rico,3126
rhode island,8157
south carolina,42301
south dakota,4689
tennessee,40789
texas,208210
unknown,8
utah,14555
vermont,2600
virgin islands,895
virginia,68763
washington,62458
west virginia,12307
wisconsin,42384
wyoming,4035
