description,price,description_clean
"14424 Lake Victor Dr, Pflugerville, TX 78660 is a single family home that contains 2,601 sq ft and was built in 2012. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $344,417. The Rent Zestimate for this home is $2,195/mo. ",305000.0,"14424 lake victor dr, pflugerville, tx 78660 is a single family home that contains 2,601 sq ft and was built in 2012. it contains 4 bedrooms and 3 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Absolutely GORGEOUS 4 Bedroom home with 2 full baths located in the tucked away Pflugerville community The Lakes at Northtown. This home was recently updated with new carpets, new tile kitchen back splash, and fresh paint throughout the entire house. This charming abode is a MUST SEE if you're looking for an affordable home in the Austin area. Something very hard to come by in this market!  Only 14 miles from downtown, this home will accommodate downtown commuting as well as a work from home environment. This community is tucked away and yet only minutes from major retailers and shopping. Do not miss this opportunity!",295000.0,"absolutely gorgeous 4 bedroom home with 2 full baths located in the tucked away pflugerville community the lakes at northtown. this home was recently updated with new carpets, new tile kitchen back splash, and fresh paint throughout the entire house. this charming abode is a must see if you re looking for an affordable home in the austin area. something very hard to come by in this market! only 14 miles from downtown, this home will accommodate downtown commuting as well as a work from home environment. this community is tucked away and yet only minutes from major retailers and shopping. do not miss this opportunity!"
"Under construction - estimated completion in August 2019.  The Pioneer features an expansive open floorplan, 3 spacious bedrooms, 2 bathrooms, and a stunning kitchen. Upon entering the Pioneer, you will pass through the impressive entry way. Keep walking, and you will pass the two private secondary bedrooms which both have large walk-in closets. The entryway leads you into the huge open family room and kitchen area with a huge island with granite counters.  Next to the kitchen is the dining room, conveniently separated from the main living area of the family room.  A large covered patio greets you as you walk out the back door into the backyard.  A private and spacious master suite is the cherry on top of this home and will provide a quiet place for you to relax after a long day.  This home is very close to the fantastic amenity center.  All of this in just 1472 sqft is a deal that you will find very hard to beat!",256125.0,"under construction - estimated completion in august 2019. the pioneer features an expansive open floorplan, 3 spacious bedrooms, 2 bathrooms, and a stunning kitchen. upon entering the pioneer, you will pass through the impressive entry way. keep walking, and you will pass the two private secondary bedrooms which both have large walk-in closets. the entryway leads you into the huge open family room and kitchen area with a huge island with granite counters. next to the kitchen is the dining room, conveniently separated from the main living area of the family room. a large covered patio greets you as you walk out the back door into the backyard. a private and spacious master suite is the cherry on top of this home and will provide a quiet place for you to relax after a long day. this home is very close to the fantastic amenity center. all of this in just 1472 sqft is a deal that you will find very hard to beat!"
"Absolutely darling one story home in charming story book like The Lakes of Northtown! Built in 2013, this home has hardly been lived in and is just like new. It is perfect for someone looking for low maintenance living that is close to movies, shopping, groceries, and has quick access to the highways!",240000.0,"absolutely darling one story home in charming story book like the lakes of northtown! built in 2013, this home has hardly been lived in and is just like new. it is perfect for someone looking for low maintenance living that is close to movies, shopping, groceries, and has quick access to the highways!"
"Brimming with appeal & warm livability! Sleek & stylish home with modern finishes & amenities await you! Enjoy the open floor plan, gorgeous gourmet kitchen with center island, spacious living room, high ceiling, stay cozy by the fireplace in family room and so much more! Backyard - perfect for outdoor fun! This won't last!",239900.0,"brimming with appeal warm livability! sleek stylish home with modern finishes amenities await you! enjoy the open floor plan, gorgeous gourmet kitchen with center island, spacious living room, high ceiling, stay cozy by the fireplace in family room and so much more! backyard - perfect for outdoor fun! this won t last!"
"14908 Spring Hill Ln, Pflugerville, TX 78660 is a single family home that contains 1,446 sq ft and was built in 2020. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $307,210. ",309045.0,"14908 spring hill ln, pflugerville, tx 78660 is a single family home that contains 1,446 sq ft and was built in 2020. it contains 3 bedrooms and 2 bathrooms. the zestimate for this house is ."
"This well-maintained 2016 home in the Retreat at Harris Ridge subdivision offers 4 bedrooms, an office, an upstairs game room, and a convenient location! Located on a corner lot, it has one of the largest backyards in the subdivision for some extra elbow room and privacy, and provides solar panels for energy savings. Even better, the washer, dryer, refrigerator, and $6,300 water softener/whole house water filtration system are included with a full-price offer!

Contact Tanya Kerr at (512) 748-5343 or tanya@jorgensonrealestate.com for more info or to see it first! ",315000.0,"this well-maintained 2016 home in the retreat at harris ridge subdivision offers 4 bedrooms, an office, an upstairs game room, and a convenient location! located on a corner lot, it has one of the largest backyards in the subdivision for some extra elbow room and privacy, and provides solar panels for energy savings. even better, the washer, dryer, refrigerator, and water softener/whole house water filtration system are included with a full-price offer! contact tanya kerr at 512 748-5343 or tanya jorgensonrealestate.com for more info or to see it first!"
"Wonderful home, freshly painted throughout, newly laid vinyl plank in kitchen and new carpet!  New roof 10-2016; new garage door 11-2017.   Cozy home with a great patio for backyard BBQ's or morning coffee.  Make this your next home!",219900.0,"wonderful home, freshly painted throughout, newly laid vinyl plank in kitchen and new carpet! new roof 10-2016 new garage door 11-2017. cozy home with a great patio for backyard bbq s or morning coffee. make this your next home!"
"Solid 3 bed 2 bath with formal dining/living combo and a study. Spacious kitchen with island to provide lots of counter and cabinet space. All bedrooms up, with a large game room to entertain. Tile flooring throughout, no carpet. Master suite offers separate tub/shower. Quick access to major highway. Bring all offers!",225000.0,"solid 3 bed 2 bath with formal dining/living combo and a study. spacious kitchen with island to provide lots of counter and cabinet space. all bedrooms up, with a large game room to entertain. tile flooring throughout, no carpet. master suite offers separate tub/shower. quick access to major highway. bring all offers!"
"Beautiful 3 bed 2.5 bath home in great location, spacious family room with vaulted ceilings, kitchen opens to family room, large dining area in kitchen, plenty of counter and cabinet space, beautiful open spindles going up staircase, enormous master bedroom and closet, separate tub and shower, over sized 2nd and 3rd bedrooms, covered front and back porch, huge back yard, minutes from airport, must see this amazing well cared for home.",194800.0,"beautiful 3 bed 2.5 bath home in great location, spacious family room with vaulted ceilings, kitchen opens to family room, large dining area in kitchen, plenty of counter and cabinet space, beautiful open spindles going up staircase, enormous master bedroom and closet, separate tub and shower, over sized 2nd and 3rd bedrooms, covered front and back porch, huge back yard, minutes from airport, must see this amazing well cared for home."
